Site,Replicate,MP Shape,Count,Fishing,Mass_g,Count/Mass
Lake Mary,2,circle,5,high,21.01,0.2380
Trapdoor,3,circle,1,low,28.78,0.0347
Convict RT,2,circle,2,high,1.4,1.4286
Convict RT,1,circle,3,high,10.32,0.2907
Convict S,1,circle,9,high,3.71,2.4259
Convict S,2,circle,3,high,3.67,0.8174
June,1,circle,1,high,60.67,0.0165
